episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,3.0,0,2.149352706407653e-05,7.114713747545329e-06,1.1857854987584273e-05,0.0,0.0,0.01609647686293185,1.6471703271985554,1.647167045700999,7.114741983740672e-06,-0.2002158200508064,0.23427994895990978,0.4686192468619247,1.647167039673008,0.0,239
1,eval,blind,3.0,0,0.0002749838577568819,5.941716867652975e-05,9.902860897093442e-05,0.0,0.0,0.016263747882004437,1.5003477201551574,1.5004609787065115,5.941714707698194e-05,-0.17817952843286092,0.14012285231015756,0.3472803347280335,1.5004609756620955,0.0,239
2,eval,blind,3.0,0,0.0017479297706943053,0.001112017329920095,0.00185336216011184,0.0,0.0,0.015545688437056343,1.4260192499749331,1.4210592098066497,0.0011120172950929172,-0.17399831494226733,0.1861182824416155,0.3054393305439331,1.4210592122821093,0.0,239
3,eval,blind,3.0,0,0.10942612930107716,0.0674620817728252,0.11243678949071653,0.08235070383698372,0.0,0.01672324774568612,1.3412054133714493,1.5474685436761528,0.06746208202653997,-0.18646450148698437,0.17018309148639427,0.6234309623430963,1.5474685509972606,0.0,239
4,eval,blind,3.0,0,0.350115003503633,0.14696876332897496,0.24494789478742415,0.26302776619729634,0.006656523591304923,0.016465530889576387,1.1561331720282344,1.5107566432474049,0.14686564512838338,-0.22752136196246484,0.5090655509065551,0.07112970711297072,1.510756641056697,0.0,239
5,eval,blind,3.0,0,0.11274785525415133,0.0691583431998955,0.11526389122966416,0.08292126312664862,0.0,0.017065814873554342,1.3682930349804867,1.570800072353754,0.06915834265492933,-0.1994566697072624,0.31493516128075016,0.2719665271966527,1.5708000677035858,0.0,239
6,eval,blind,3.0,0,0.34251428529070727,0.14273193963711048,0.23788652517892483,0.24876378744715927,0.0,0.01626964443982832,1.16366553019779,1.4894974868916069,0.14273193915814544,-0.21236778802934056,0.40289029348051875,0.16736401673640167,1.4894974807791965,0.0,239
7,eval,blind,3.0,0,0.501210307838382,0.23995616746303833,0.399926873996489,0.4218333960826427,0.0,0.01824355277692642,0.9571070240880655,1.6826715253636428,0.23995616630893143,-0.23704528099470623,0.5021217246802576,0.30962343096234307,1.682671528728169,0.0,239
8,eval,blind,3.0,0,0.37911919344205136,0.19762210282409431,0.329370113865316,0.37314568191891434,0.0,0.01977809728610341,1.132233092226244,1.8390537060204908,0.1976221021797611,-0.24937186682197676,0.5041395887118313,0.2719665271966527,1.8390537034780026,0.0,239
9,eval,blind,3.0,0,0.4392558533156307,0.23366444741761644,0.3894406719166502,0.45454545425071874,0.0,0.02048161421867407,1.0220265768811294,1.9093389052227452,0.23366444643304846,-0.2648578786839556,0.4674619424908752,0.4309623430962343,1.9093389273035635,0.0,239
