episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,resets,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,0.502091316396975,0.10342022188474193,0.17236702588889635,0.03157094027457377,0.0,0.015241366818890163,1.4964746473723376,1.5070624623338549,0.7638862931586522,12552301957.160727,0.6791433566035586,1.5274699912659793,0.04975176625466474,119.0,0.0,0.0,0.0,0.0,0.9738900357833966,0.7493723849372388,0.7404006914114852,0.8340457889914562,0.5196357657020945,0.015346241183578968,0.052503958257163266,-0.1857776979915168,0.2428855455651503,0.37656903765690375,1.5070624655215081,0.0,239
1,eval,pact,3.0,0,0.36491424218167223,0.044510088351032276,0.07418347501485285,0.0186382656192181,0.0,0.004927962412473173,0.3329109051362241,0.384388295551723,0.7016914686398527,1241.7849414777556,0.3323825072793282,10.872791591049737,0.024580060225759464,357.0,0.0,96.25523012552301,0.0,0.0,0.9932336166314001,0.9000000000000004,0.8939102386829744,0.5670225969503502,0.48921033351528276,0.004329309459765452,0.026089354582855703,-0.09449272320310928,0.5852992670405649,0.06276150627615062,0.3843882989636225,0.0,239
2,eval,pact,3.0,0,0.4955261374568512,0.022791945777125837,0.03798657469770322,0.0,0.0,0.0050961509693772476,0.38808820692814544,0.38633406474001736,0.6102416004097112,7477.570625081721,0.30191210005822045,15.002746781544705,0.007673160978651383,595.0,0.0,333.0,0.0,0.0,0.9840690725518071,0.9000000000000004,0.885662146193213,0.8539236268761982,0.7464948921792564,0.011851634612927835,0.00739054213958465,-0.06652044421766831,0.11329713047864921,0.39748953974895396,0.3863340667154488,0.0,239
3,eval,pact,3.0,0,0.4392558730871779,0.019944394260233197,0.03324065538939192,0.0,0.0,0.005343575014004087,0.39200750018263464,0.39469575694914144,0.29898655430168286,38830.62118364278,0.1021336108820209,41.55705216140428,0.007774776114719807,833.0,0.0,571.0,0.0,0.0,0.9808888747103544,0.9000000000000004,0.8827999553421052,0.8651567338674899,0.738545611502291,0.006205335450567194,0.007689642470532631,-0.06482996299763465,0.10952847265497491,0.4769874476987448,0.394695756987824,0.0,239
4,eval,pact,3.0,0,0.0760018663305159,0.005616058303551665,0.00936009639047838,0.0,0.0,0.004374310629496889,0.34397024651950375,0.34925334934908975,0.723412569097894,108964.41525562239,0.22334035607561406,93.8416774262943,0.006134291509727491,1071.0,0.0,809.0,0.0,0.0,0.9854807277603628,0.9000000000000004,0.8869326341601096,1.2275571668429166,0.3151247289872763,0.0029199131308569612,0.005157403840788613,-0.07875647775546839,0.38695510252529747,0.19246861924686193,0.34925335024027415,0.0,239
5,eval,pact,3.0,0,0.48112744734638124,0.02076334581374129,0.03460557499608044,0.0,0.0,0.0051607329721823645,0.38929935248576447,0.38631542357440773,-0.579485312645873,75656.24365030073,0.24073448814607565,43.492171048120476,0.007140416637107839,1309.0,0.0,1047.0,0.0,0.0,0.982804244532246,0.9000000000000004,0.8845237959877716,0.813802433330723,0.7454611860375477,0.005869972465249399,0.006818173198949031,-0.06251774784700667,0.10911303006023916,0.5941422594142259,0.3863154227559837,0.0,239
6,eval,pact,3.0,0,0.00014589538669387058,2.305592718900953e-05,3.842654603423972e-05,0.0,0.0,0.003777458417233251,0.3171705541251594,0.32410105389531185,-1.2893242646460752,70740.93039847018,0.1441596895456314,38.528167724609375,0.005276635657921901,1547.0,0.0,1285.0,0.0,0.0,0.9858653261072965,0.9000000000000004,0.8872787675598176,48.394314008264715,-84.6480789705938,0.00304497390742579,0.004044634939822131,-0.08050965166307643,0.4682928276803465,0.04184100418410042,0.3241010547150644,0.0,239
7,eval,pact,3.0,0,0.17909063403861195,0.008190673747831778,0.013651122057404281,0.0,0.0,0.004057866845583878,0.33405703804981757,0.3342859196363633,0.38178729446737336,48359.01902458159,0.20347784677808753,28.738083207956418,0.005401445285292444,1785.0,0.0,1523.0,0.0,0.0,0.9836235186669617,0.9000000000000004,0.8852611461568577,0.8312747568714325,0.5022228033469024,0.002062895808990936,0.004993685830002611,-0.0811805345214049,0.4785898691355826,0.18410041841004185,0.3342859220678714,0.0,239
8,eval,pact,3.0,0,0.42329975400295616,0.023388739579150983,0.03898123081791146,0.0,0.0,0.005773637266478903,0.37816648708975964,0.37815992777317636,0.685806308206654,53799.30151265037,0.18086995952957502,31.2111239024286,0.005361378546044324,2023.0,0.0,1761.0,0.0,0.0,0.9757498993409728,0.9000000000000004,0.8781748914070209,0.9384430040733748,0.8045139552998599,0.002288504809855598,0.0055378925122971405,-0.1125543780887908,0.6625419151903618,0.11297071129707113,0.3781599259498282,0.0,239
9,eval,pact,3.0,0,0.15197705929011698,0.00421643778312211,0.00702739595589603,0.0,0.0,0.0033105493807643028,0.31870432890109934,0.31852349900800314,-0.7863866286547114,52556.33963944822,-0.04461162022965723,49.5675674223002,0.004282004134651569,2261.0,0.0,1999.0,0.0,0.0,0.9846655800003387,0.9000000000000004,0.886199002360699,0.4191894475608546,0.4240691037402249,0.0018587766569706015,0.003756561507368616,-0.07529441622973707,0.331167096946497,0.0,0.31852349797223933,0.0,239
10,eval,pact,3.0,0,0.4554288604148302,0.024790045656025075,0.04131674087774357,0.0,0.0,0.00563514611204486,0.37477669917888723,0.3742240578809044,0.36549156185660403,60519.34250784519,0.09285623687228736,41.25847703143643,0.006272135294143843,2499.0,0.0,2237.0,0.0,0.0,0.9765424123618394,0.9000000000000004,0.8788881522591643,0.8832764716258712,0.7772847846651414,0.0026512492971960456,0.006596898359527118,-0.11503312005428522,0.722751416955993,0.07531380753138076,0.3742240577451769,0.0,239
11,train,pact,3.0,0,6.514758795400435e-05,1.5068395304635837e-05,2.5113990905920676e-05,0.0,0.0,0.015188314094671893,1.5431718180369134,1.5428630834344041,-5.646974587914335,1926.4069734836721,-0.03922520950436592,90.46808624267578,0.005497379542587064,2737.0,0.0,2475.0,0.0,0.0,0.9787870590656871,0.9000000000000004,0.8809083316116653,67.75225198568519,-149.27696580849747,0.002898677228188018,0.0038407166325231472,-0.20922966843716292,0.461022582272471,0.18828451882845187,1.5428630813005881,0.0,239
12,train,pact,3.0,0,0.02096458594954064,0.005299447496825557,0.008832411624501687,0.0,0.0,0.015299605696645242,1.556406092693616,1.5572300710438685,-0.32860370413507395,763.2339577136179,0.47161299802331746,2.4647989143387545,0.008000114756815571,2975.0,0.0,2713.0,0.0,0.0,0.9895377657902291,0.9000000000000004,0.8905839680627798,0.5830273457081413,0.1812797528209794,0.004031848063999691,0.007568743068454046,-0.2009692013569652,0.36653906644114065,0.24267782426778242,1.5572300704787578,0.0,239
13,train,pact,3.0,0,0.0,0.0,0.0,0.0,0.0,0.015024887826527512,1.5599174135399663,1.5599475956860944,-2.1177334920133006,965.5233113436519,0.48417022824287415,2.1350204944610596,0.0005996568652944421,3213.0,0.0,2951.0,0.0,0.0,0.9905364862545764,0.9000000000000004,0.8914828185755838,nan,nan,0.0005391016097232883,0.0005391019083495947,-0.1935509871848795,0.27896970236505536,0.4225941422594142,1.55994760072104,0.0,239
14,train,pact,3.0,0,0.00014589538669387058,3.4381797217309015e-05,5.730299595582677e-05,0.0,0.0,0.016155041333397062,1.6266934013765726,1.6268116270647888,-13.657438735084055,1468.0348380499804,0.48417022824287415,2.1350204944610596,0.00048042632750434965,3451.0,0.0,3189.0,0.0,0.0,0.9918365600717617,0.9000000000000004,0.8926528854350165,0.4790593193072511,-0.3533359564502365,0.000403800856833131,0.0004353652114381833,-0.19211688507752164,0.16706727202587615,0.5104602510460251,1.6268116206059946,0.0,239
15,train,pact,3.0,0,0.47389736845189456,0.15112733282063598,0.25187886699963025,0.0834918221669217,0.0,0.01817490450188393,1.7122154794477518,1.720539785329268,0.27288942164488167,2244.269249313546,0.47077441506991824,5.93797138719878,0.10495399083225174,3689.0,0.0,3427.0,0.0,0.0,0.9940144806227424,0.9000000000000004,0.89461301360669,0.7651107681629847,0.40999031007713926,0.06772279679775238,0.10180891384701848,-0.19702497214275655,0.12101249295231314,0.5062761506276151,1.720539785397464,0.0,239
16,train,pact,3.0,0,0.4488243158769947,0.15990966020148198,0.2665160789516624,0.12438189459645099,0.0,0.018578421922642193,1.727491967348873,1.7409147054081682,0.31446428709199736,4098.8554268681355,0.38793292881679337,7.173369477483518,0.11797134945301581,3927.0,0.0,3665.0,0.0,0.0,0.9950462923887883,0.9000000000000004,0.8955416417520914,0.7305883853719269,0.38708903383319804,0.06800555839898094,0.11581961208151724,-0.2125605093450211,0.3107807353333927,0.26778242677824265,1.7409146999010559,0.0,239
17,train,pact,3.0,0,0.29880202014860646,0.10776453331510086,0.17960754104542387,0.08235070433576736,0.0009509319416149889,0.019738411064216844,1.8031707059389377,1.8303314706770446,0.2176489015129321,6187.269316733133,0.3742320540061057,10.95164008719153,0.09801458502305227,4165.0,0.0,3903.0,0.0,0.0,0.9959104938985912,0.9000000000000004,0.8963194200184554,0.6964348720609619,0.3060178230089735,0.046208926062617034,0.09483114680641615,-0.23858032478390245,0.4367785394225348,0.23430962343096234,1.8303314893242966,0.0,239
