episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,0.0,0,0.37911919344205136,0.0,0.0,0.0,0.0,0.01608315083513886,0.7640230451168875,0.7640230451168875,0.0,-0.1057764460768668,0.18866489159376187,0.3138075313807531,0.7640230433842141,0.0,239
1,eval,blind,0.0,0,0.41462239765982967,0.0,0.0,0.0,0.0,0.0014511750913351758,0.1597862970006017,0.1597862970006017,0.0,-0.031091201824768544,0.0,1.0,0.15978629699287336,0.0,239
2,eval,blind,0.0,0,0.496713411596384,0.0,0.0,0.0,0.0,0.0009687341100372624,0.14479342720249208,0.14479342720249208,0.0,-0.032821450290431445,0.0887536452390009,0.42677824267782427,0.14479342719648597,0.0,239
3,eval,blind,0.0,0,0.0008817254575398053,0.0,0.0,0.0,0.0,0.0017311036654711004,0.16401518060665998,0.16401518060665998,0.0,-0.03673063462026816,0.03220489412958032,0.7866108786610879,0.1640151807939389,0.0,239
4,eval,blind,0.0,0,0.19514417073502602,0.0,0.0,0.0,0.0,0.0015324465093878976,0.16304053808854713,0.16304053808854713,0.0,-0.035263889841402336,0.0008875364523900089,0.9832635983263598,0.1630405384734249,0.0,239
5,eval,blind,0.0,0,0.2405893336158956,0.0,0.0,0.0,0.0,0.0015369329667770963,0.15799376324879075,0.15799376324879075,0.0,-0.042382430141271986,0.16102447064790165,0.48535564853556484,0.15799376301761958,0.0,239
6,eval,blind,0.0,0,0.04457110651652085,0.0,0.0,0.0,0.0,0.0017041270634515998,0.1673381847941227,0.1673381847941227,0.0,-0.03918070806337131,0.021934829466210223,0.7824267782426778,0.16733818317463087,0.0,239
7,eval,blind,0.0,0,0.4417291495469365,0.0,0.0,0.0,0.0,0.0012206301219989332,0.14843913283058788,0.14843913283058788,0.0,-0.03595094385527276,0.09306453657918093,0.6861924686192469,0.14843913299714986,0.0,239
8,eval,blind,0.0,0,0.4977520082539135,0.0,0.0,0.0,0.0,0.0009783554826346792,0.14291390511655408,0.14291390511655408,0.0,-0.036096795473238345,0.1407379231647014,0.2803347280334728,0.1429139055948474,0.0,239
9,eval,blind,0.0,0,0.17120400338753217,0.0,0.0,0.0,0.0,0.001657975436466898,0.16406938633160612,0.16406938633160612,0.0,-0.03736968119600081,0.00025358184354000256,0.99581589958159,0.1640693859352086,0.0,239
10,eval,blind,0.0,0,0.00010017924373394666,0.0,0.0,0.0,0.0,0.001749768420405078,0.16675208172289396,0.16675208172289396,0.0,-0.038201083744870926,0.026372511728160263,0.7698744769874477,0.16675208252691112,0.0,239
11,train,blind,0.0,0,0.4961388843030782,0.0,0.0,0.0,0.0,0.01746620500955154,0.8685545437505554,0.8685545437505554,0.0,-0.10587420101559486,0.09610751870166095,0.4225941422594142,0.868554544514419,0.0,239
12,train,blind,0.0,0,0.20738793141458225,0.0,0.0,0.0,0.0,0.016847100285189733,0.8346918043232363,0.8346918043232363,0.0,-0.11202581042934084,0.1617852161785216,0.3723849372384937,0.8346918070320243,0.0,239
13,train,blind,0.0,0,0.5019918537838604,0.0,0.0,0.0,0.0,0.017542328632915993,0.8652912889564387,0.8652912889564387,0.0,-0.10976803185356927,0.1199442119944212,0.35564853556485354,0.8652912885428898,0.0,239
14,train,blind,0.0,0,0.0043400218550171355,0.0,0.0,0.0,0.0,0.016553913067761324,0.8285089458132389,0.8285089458132389,0.0,-0.11077253226231762,0.16761759857994166,0.3891213389121339,0.8285089450410112,0.0,239
15,train,blind,0.0,0,0.3501149740058049,0.0,0.0,0.0,0.0,0.016557548602820847,0.8230398186330516,0.8230398186330516,0.0,-0.10160471533127736,0.0915430455179409,0.47280334728033474,0.8230398188458828,0.0,239
16,train,blind,0.0,0,0.45752092677940104,0.0,0.0,0.0,0.0,0.015952348024740222,0.7839550071056917,0.7839550071056917,0.0,-0.10541545355228084,0.1579814885254216,0.3179916317991632,0.7839550048952483,0.0,239
17,train,blind,0.0,0,0.4881335476829956,0.0,0.0,0.0,0.0,0.01741794503983656,0.8358554500915016,0.8358554500915016,0.0,-0.10765849318298902,0.1393432230252314,0.36401673640167365,0.835855455602367,0.0,239
18,train,blind,0.0,0,0.36126752409238416,0.0,0.0,0.0,0.0,0.01614006179790149,0.7986105390547709,0.7986105390547709,0.0,-0.10149575744086822,0.11284392037530112,0.42677824267782427,0.7986105429556882,0.0,239
19,train,blind,0.0,0,0.3269574497412977,0.0,0.0,0.0,0.0,0.017362098177898848,0.8337982133592023,0.8337982133592023,0.0,-0.11003359747752288,0.14948649676683148,0.36401673640167365,0.8337982118188395,0.0,239
20,train,blind,0.0,0,0.4510805060552793,0.0,0.0,0.0,0.0,0.016894434302047706,0.8540195412154477,0.8540195412154477,0.0,-0.10922926963334355,0.1224800304298212,0.3598326359832636,0.8540195411849354,0.0,239
21,train,blind,0.0,0,0.4367288618482977,0.0,0.0,0.0,0.0,0.0163467850640346,0.7903703538443753,0.7903703538443753,0.0,-0.10522231314113902,0.1505008241409915,0.36401673640167365,0.7903703540696662,0.0,239
22,train,blind,0.0,0,0.38934417804177057,0.0,0.0,0.0,0.0,0.015789511655437835,0.801254737826072,0.801254737826072,0.0,-0.10276459802094569,0.1271712945353113,0.39748953974895396,0.8012547363859625,0.0,239
23,train,blind,0.0,0,0.43414843287689137,0.0,0.0,0.0,0.0,0.017204540572226607,0.8600484754999312,0.8600484754999312,0.0,-0.10798386514360367,0.11246354760999111,0.41422594142259417,0.8600484760343878,0.0,239
24,train,blind,0.0,0,0.21976542770897894,0.0,0.0,0.0,0.0,0.01606975721826613,0.8055087995703749,0.8055087995703749,0.0,-0.10704279143936805,0.14682388740966146,0.3263598326359833,0.8055088009577325,0.0,239
25,train,blind,0.0,0,0.2988020511427855,0.0,0.0,0.0,0.0,0.016302301614666084,0.8079786939102237,0.8079786939102237,0.0,-0.10378500419268141,0.13300367693673135,0.33472803347280333,0.807978695335766,0.0,239
26,train,blind,0.0,0,0.4754479658978925,0.0,0.0,0.0,0.0,0.01553887369161838,0.7779131820386423,0.7779131820386423,0.0,-0.1050907901476795,0.16558894383162168,0.2594142259414226,0.7779131828632523,0.0,239
27,train,blind,0.0,0,0.4738973789959445,0.0,0.0,0.0,0.0,0.016956079023535593,0.8440980654381309,0.8440980654381309,0.0,-0.10555186017607932,0.10282743755547104,0.4560669456066946,0.8440980637589324,0.0,239
28,train,blind,0.0,0,0.2864649897415939,0.0,0.0,0.0,0.0,0.016085485333506656,0.8125328154743466,0.8125328154743466,0.0,-0.10398755439374428,0.12717129453531129,0.3472803347280335,0.8125328147227229,0.0,239
29,train,blind,0.0,0,0.0010625911311165598,0.0,0.0,0.0,0.0,0.016966969333978753,0.8323812488482089,0.8323812488482089,0.0,-0.10760091337732365,0.12691771269177127,0.4225941422594142,0.8323812522419534,0.0,239
30,eval,blind,0.0,0,0.49905009486198143,0.0,0.0,0.0,0.0,0.00938030549570544,0.5199346034846046,0.5199346034846046,0.0,-0.06675199914179776,0.04830734119437048,0.497907949790795,0.5199346056470167,0.0,239
31,eval,blind,0.0,0,0.025146201497458203,0.0,0.0,0.0,0.0,0.009603557044398586,0.5238148430401312,0.5238148430401312,0.0,-0.06246779974079795,0.0,1.0,0.5238148468257701,0.0,239
32,eval,blind,0.0,0,0.3575846380647296,0.0,0.0,0.0,0.0,0.009140276742678245,0.5096735008466193,0.5096735008466193,0.0,-0.06874672797247376,0.09382528210980094,0.4435146443514644,0.5096734980115282,0.0,239
33,eval,blind,0.0,0,0.017240600663365867,0.0,0.0,0.0,0.0,0.009657222358704736,0.5227864835426898,0.5227864835426898,0.0,-0.06192659857341268,0.0,1.0,0.5227864859116318,0.0,239
34,eval,blind,0.0,0,0.475447956226714,0.0,0.0,0.0,0.0,0.009424113828268011,0.5192309194653603,0.5192309194653603,0.0,-0.06415477386614692,0.030810193990110306,0.48535564853556484,0.5192309199616042,0.0,239
35,eval,blind,0.0,0,7.168495677855786e-07,0.0,0.0,0.0,0.0,0.009618873920322837,0.5260560000042537,0.5260560000042537,0.0,-0.06264827016026034,0.0,1.0,0.5260559980259931,0.0,239
36,eval,blind,0.0,0,0.49905009486198143,0.0,0.0,0.0,0.0,0.008648146863512415,0.47679959493202145,0.47679959493202145,0.0,-0.07121289788498092,0.16356028908330159,0.16736401673640167,0.4767995923251114,0.0,239
37,eval,blind,0.0,0,0.43414843287689137,0.0,0.0,0.0,0.0,0.009196158876510095,0.5105425844506739,0.5105425844506739,0.0,-0.06712462762711352,0.09471281856219096,0.4309623430962343,0.5105425848045486,0.0,239
38,eval,blind,0.0,0,0.02230692015294469,0.0,0.0,0.0,0.0,0.009674239260725147,0.5206092285561262,0.5206092285561262,0.0,-0.06100630028552833,0.0,1.0,0.5206092306209605,0.0,239
39,eval,blind,0.0,0,0.4653420398303694,0.0,0.0,0.0,0.0,0.009487984760442289,0.530291253552776,0.530291253552776,0.0,-0.06849299477431853,0.035501458095600354,0.606694560669456,0.5302912548572944,0.0,239
40,train,blind,0.0,0,0.1830709686913921,0.0,0.0,0.0,0.0,0.016764199649564392,0.8178589825350869,0.8178589825350869,0.0,-0.10423186899235719,0.11956383922911124,0.38493723849372385,0.8178589828532884,0.0,239
41,train,blind,0.0,0,0.10942615455924436,0.0,0.0,0.0,0.0,0.016877991921817846,0.8406457984547236,0.8406457984547236,0.0,-0.10568634442375124,0.099404082667681,0.47280334728033474,0.8406458009584645,0.0,239
42,train,blind,0.0,0,0.42329975400295616,0.0,0.0,0.0,0.0,0.016091844063080753,0.8184913315782986,0.8184913315782986,0.0,-0.1070792301553205,0.14530239634842143,0.3138075313807531,0.8184913321432618,0.0,239
43,train,blind,0.0,0,0.1712039733909204,0.0,0.0,0.0,0.0,0.015702979387832362,0.7992143801814842,0.7992143801814842,0.0,-0.10968146557427189,0.18891847343730192,0.2928870292887029,0.7992143819941175,0.0,239
44,train,blind,0.0,0,0.4085878752840285,0.0,0.0,0.0,0.0,0.01630831388737149,0.8114832205752448,0.8114832205752448,0.0,-0.10462922793836565,0.13566628629390134,0.3179916317991632,0.8114832193725444,0.0,239
45,train,blind,0.0,0,0.051011509713621825,0.0,0.0,0.0,0.0,0.015824561219206508,0.8083898635214841,0.8083898635214841,0.0,-0.1050615664900501,0.12717129453531129,0.42677824267782427,0.8083898650836785,0.0,239
46,train,blind,0.0,0,0.15576158431569304,0.0,0.0,0.0,0.0,0.016306179908793964,0.8425649421983185,0.8425649421983185,0.0,-0.10876775666608332,0.1316089767972613,0.4309623430962343,0.8425649476929575,0.0,239
