episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,0.0,0,0.37911919344205136,0.0,0.0,0.0,0.0,0.015591076309266637,0.7830702091360691,0.7830702091360691,0.0,-0.11257227179342451,0.2412831241283124,0.3054393305439331,0.7830702089531274,0.0,239
1,eval,blind,0.0,0,0.05557842856955229,0.0,0.0,0.0,0.0,0.006387999460537563,0.4357123318202326,0.4357123318202326,0.0,-0.0894453130246742,0.47318372004564474,0.0,0.4357123323403096,0.0,239
2,eval,blind,0.0,0,0.5020913164463541,0.0,0.0,0.0,0.0,0.005316772642370049,0.3442545401626052,0.3442545401626052,0.0,-0.04989512759425651,0.03803727653100038,0.7489539748953975,0.34425453880559564,0.0,239
3,eval,blind,0.0,0,0.4769458410955545,0.0,0.0,0.0,0.0,0.006155517374099111,0.4305337456729123,0.4305337456729123,0.0,-0.07831189617126419,0.28147584632940287,0.0,0.4305337462786353,0.0,239
4,eval,blind,0.0,0,0.47389736845189456,0.0,0.0,0.0,0.0,0.005512949369582795,0.3470439199498508,0.3470439199498508,0.0,-0.05908601015489202,0.14061113224293145,0.6820083682008368,0.3470439185583864,0.0,239
5,eval,blind,0.0,0,0.07326335892778778,0.0,0.0,0.0,0.0,0.0064198883127608184,0.4369265793756461,0.4369265793756461,0.0,-0.08241337659133474,0.3618612907315835,0.0,0.43692658055128836,0.0,239
6,eval,blind,0.0,0,0.011099790736339269,0.0,0.0,0.0,0.0,0.006287499704051404,0.4418326353802342,0.4418326353802342,0.0,-0.08097816138526734,0.308101939901103,0.0,0.4418326366944221,0.0,239
7,eval,blind,0.0,0,0.15576158431569304,0.0,0.0,0.0,0.0,0.006193646629220148,0.43652757996046393,0.43652757996046393,0.0,-0.08538556310344801,0.37555471028274373,0.0041841004184100415,0.4365275786875577,0.0,239
8,eval,blind,0.0,0,0.49821823029872664,0.0,0.0,0.0,0.0,0.006102039940483774,0.42561518983860896,0.42561518983860896,0.0,-0.0779900455169046,0.2619500443768226,0.11297071129707113,0.4256151903045767,0.0,239
9,eval,blind,0.0,0,0.020964593625584595,0.0,0.0,0.0,0.0,0.006335364876774814,0.44165977392984734,0.44165977392984734,0.0,-0.08091551076005504,0.32090782299987314,0.0,0.44165977353219515,0.0,239
