episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,0.37911919344205136,0.08457588808833942,0.10571985357452515,0.0662482584121337,0.01813110229111117,0.016087756071348817,0.7834649543632524,0.7923779284355531,0.7526714575231449,3514594.9300261303,0.7079375321396225,4.843706076614029,0.0485761281537383,119.0,0.0,0.0,0.0,0.9796251262456304,0.7493723849372388,0.7418495608672936,0.6502651701355036,0.5709544199776103,0.030183633711809914,0.06980555833835607,-0.11552217596603914,0.2570051984277925,0.29707112970711297,0.7923779275409787,0.0,239
1,eval,pact,3.0,0,0.05557842856955229,0.006041341601006607,0.007551676619902183,0.0,0.0,0.006519329069751202,0.43168692278313336,0.4327518305269744,0.5338730866938954,1971.267890962098,0.1792449855779504,3.115618052841729,0.00717296656798357,357.0,0.0,0.0,0.0,0.995318770907414,0.9000000000000004,0.8957868752120429,0.5947067663627025,0.20740099760099984,0.0029191511972541254,0.0068828930206904695,-0.08959525689593686,0.4791428933688348,0.0,0.4327518310221265,0.0,239
2,eval,pact,3.0,0,0.5020913164463541,0.0453900550303245,0.05673756577471448,0.0,0.0,0.005198652168276046,0.3417244338465535,0.335285817105401,0.7018746087740655,12116.389566716789,0.41091499734810205,23.951369991861128,0.00881981539197079,595.0,0.0,22.631799163179917,0.0,0.9869427174703845,0.9000000000000004,0.8882484234027783,0.8395121417707865,0.8067534989130117,0.007552942726761103,0.009894588432970329,-0.04881765991684362,0.037403321922150366,0.7615062761506276,0.33528581674616775,0.0,239
3,eval,pact,3.0,0,0.4769458410955545,0.043688811824406655,0.05461101238457962,0.0,0.0,0.005995416585122192,0.4272293056903025,0.4123612580563733,0.592306237589864,58371.043655203976,0.1386545931016364,49.43426547389649,0.01433480562747916,833.0,0.0,114.64435146443515,0.0,0.9870598669082051,0.9000000000000004,0.8883538577845904,0.6727311107743505,0.7073205928237196,0.005223324654555957,0.016186619036690678,-0.07525126413465702,0.2510460251046025,0.02510460251046025,0.4123612568733611,0.0,239
4,eval,pact,3.0,0,0.47389736845189456,0.044162126512194665,0.055202654848654525,0.0,0.0,0.00564272728140727,0.3439598754360087,0.344212368005988,-0.20236454799646614,156635.1613166841,0.03889541140763346,36.983531724458956,0.013931127030316693,1071.0,0.0,205.4560669456067,0.0,0.9869746567065746,0.9000000000000004,0.888277170797771,0.9267992485880071,0.7442479314651949,0.01128340283408761,0.013862107086451296,-0.059693466804622015,0.1562064156206416,0.6485355648535565,0.34421236740865674,0.0,239
5,eval,pact,3.0,0,0.07326335892778778,0.007198364357989163,0.008997954954713472,0.0,0.0,0.0066824899051166975,0.432327413284629,0.43013687051489763,-2.1148537146745867,84646.19143893829,-0.2836803603745903,79.39168065561908,0.01026385309134228,1309.0,0.0,302.4979079497908,0.0,0.9892003884749433,0.9000000000000004,0.8902803282233961,0.515889682330134,0.47681801747821595,0.005404035348398057,0.007908108441921918,-0.0818199392700038,0.3690883732724736,0.0,0.43013687149207835,0.0,239
6,eval,pact,3.0,0,0.011099790736339269,0.0012452330386291564,0.0015565412552376637,0.0,0.0,0.006372410894632651,0.43658747608192794,0.4387984081915732,-0.34218983571960837,219413.09327601988,-0.38588172820821465,9.172819774021164,0.0030207262071488606,1547.0,0.0,401.1338912133891,0.0,0.9924302366737542,0.9000000000000004,0.8931871905735845,0.7044249238026637,0.575714940868447,0.0024787265835490464,0.002659195791501318,-0.08120700591672533,0.3125396221630531,0.0041841004184100415,0.4387984062077182,0.0,239
7,eval,pact,3.0,0,0.15576158431569304,0.014077001087160276,0.017596250309096638,0.0013947001810353172,0.0,0.006423470018641969,0.4322687877521355,0.4301519335313821,-0.9075247504783475,360585.7883106695,0.30309259317908827,104.80736900672753,0.012210135837182964,1785.0,0.0,550.3849372384938,0.0,0.9904272273245217,0.9000000000000004,0.8913844858752135,0.5399427296530128,0.3154076640965525,0.0038620024720871157,0.011436811341927484,-0.08466445846959497,0.3698491188030936,0.100418410041841,0.4301519332229848,0.0,239
8,eval,pact,3.0,0,0.49821823029872664,0.04785135212940792,0.059814186541006314,0.0,0.0,0.006035304768595486,0.42306824708084684,0.41610450300711466,-1.1551359621340322,226776.0508629707,-0.19101181142733561,140.6999663348976,0.019877663681041994,2023.0,0.0,696.5230125523012,0.0,0.9886873390634688,0.9000000000000004,0.8898185859414823,0.7575024836708897,0.6180572126503009,0.013736604005098343,0.0197576160209495,-0.07649476186152593,0.2567516165842526,0.1589958158995816,0.4161045020642438,0.0,239
9,eval,pact,3.0,0,0.020964593625584595,0.002269461078361487,0.0028368261738178717,0.0,0.0,0.006434118482342699,0.4369991639293886,0.43412782432643937,-1.572013871440329,280486.8483917364,-0.07861572725378818,379.0462490065826,0.010822365642525256,2261.0,0.0,816.0083682008368,0.0,0.99290671433365,0.9000000000000004,0.8936160245450471,0.35204770753088066,0.28298847751964784,0.008280028136610294,0.008409418176399801,-0.08053766216437577,0.33054393305439317,0.0,0.43412782411105383,0.0,239
