episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,resets,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,2.149352706407653e-05,7.3223066895301005e-06,1.2203843089767485e-05,0.0,0.0,0.015463000028998159,1.6076082437607035,1.6076106668516184,0.9836949750037755,12552302286.857737,0.0,0.0,7.1981098071431395e-06,119.0,0.0,0.0,0.0,0.0,0.9772809460198031,0.7493723849372388,0.7414279477865626,0.015451626288204356,0.016961442295847173,0.0,7.210950806815368e-06,-0.20072267847490372,0.30134425353868066,0.39748953974895396,1.6076106761230502,0.0,239
1,eval,pact,3.0,0,0.49975553764743685,0.18104867151857157,0.3017477695475197,0.033662990546126745,0.0,0.011769135968728481,1.2270928894376156,1.1911899714290348,0.4792175915751754,7401.833138565638,0.06618570212597977,35.26927612615928,0.08692985131681963,357.0,0.0,96.25523012552301,0.0,0.0,0.9977522400133779,0.9000000000000004,0.8979769995023017,0.8057060167116549,0.5613038996936357,0.07683165939081282,0.08626339765398074,-0.19303527441945248,0.6927802011929137,0.04602510460251046,1.1911899706267033,0.0,239
2,eval,pact,3.0,0,0.19920830527869945,0.05912700477502505,0.09854500451999294,0.010840624134410875,0.0,0.010907682720727627,1.0919643320049701,1.0806318531475307,0.26360385428537386,52023.325844992156,-0.03978301749942692,115.78591606108215,0.054553867473606035,595.0,0.0,333.0,0.0,0.0,0.9898048484674558,0.9000000000000004,0.8908243448664454,0.5535683587507109,0.45738699225673896,0.03358263921020835,0.05177101886258402,-0.12297928682972822,0.031276892489391375,0.8661087866108786,1.0806318566679107,0.0,239
3,eval,pact,3.0,0,0.5016285062847449,0.18614571859431014,0.3102428432408853,0.06295169359969295,0.0,0.011933815143378958,1.2036921484201024,1.1777114860682307,0.26253815737229513,68859.03835152982,-0.07946382499096338,65.71747542824207,0.0743415885776375,833.0,0.0,571.0,0.0,0.0,0.9948447640969663,0.9000000000000004,0.8953602673119581,0.8417539246557831,0.6443115194322495,0.13778965609769026,0.0747140379755068,-0.17988373557929127,0.5728359891984924,0.1589958158995816,1.1777114850718926,0.0,239
4,eval,pact,3.0,0,0.4738973789959445,0.165311259839335,0.27551874885949057,0.06903765709080956,0.0,0.011475959170227831,1.1759314340028804,1.1306625262962724,0.30345808315990985,113775.19246861925,-0.07183307223923106,117.47937231981605,0.07448897522846899,1071.0,0.0,809.0,0.0,0.0,0.9913321082562083,0.9000000000000004,0.8921988795990724,0.7514374150914064,0.6610953473555873,0.07114678762853145,0.07340059319908525,-0.1661806165849987,0.45479094335143483,0.2217573221757322,1.1306625248197495,0.0,239
5,eval,pact,3.0,0,0.023700630373153914,0.009919334402226036,0.016532223054527395,0.0,0.0,0.012240347598589739,1.0544601017959947,1.17503185052752,0.44660426183724505,158537.11163049162,-0.055644292680538845,75.01422023374167,0.04788248696867143,1309.0,0.0,1047.0,0.0,0.0,0.9975663353708498,0.9000000000000004,0.8978096827802299,0.7009630698739302,0.5391298530755844,0.04778938171997046,0.043386213006023085,-0.13659422584559705,0.05486809697617138,0.803347280334728,1.1750318532272113,0.0,239
6,eval,pact,3.0,0,0.09350415801189335,0.02808781443458444,0.04681302184609464,0.002472422861155107,0.0,0.010958043281690345,1.0323500880137646,1.069365196148222,-0.10137567644214032,180164.71567730125,0.05103744451681378,89.28369799817456,0.030910394378552003,1547.0,0.0,1285.0,0.0,0.0,0.9915226131178844,0.9000000000000004,0.892370337659345,0.7943997399361172,0.2947592895856852,0.014820360543888918,0.026988954468392553,-0.12648703355669916,0.02103919997626042,0.9539748953974896,1.0693651935098571,0.0,239
7,eval,pact,3.0,0,0.022306911853421187,0.007325298809313661,0.0122088305371454,0.0,0.0,0.010731219775803293,1.0426775538771722,1.0519342444930615,-0.7618948401392255,625133.6100287657,-0.07872153118946375,134.07985943431137,0.011826866285906614,1785.0,0.0,1523.0,0.0,0.0,0.9948010544397841,0.9000000000000004,0.8953209192683008,0.5943451468687345,0.17081732390301463,0.006408262417598632,0.010639048397743676,-0.11491912008394072,0.0,1.0,1.0519342473276483,0.0,239
8,eval,pact,3.0,0,0.4532820635336884,0.1555792457904439,0.2592987302610313,0.022632179774001053,0.0,0.010591149760729723,1.1587876946856288,1.0626978240751321,-2.2246705468580377,537132.0176843619,-0.10344434096224638,91.12687280886342,0.040874350051274794,2023.0,0.0,1761.0,0.0,0.0,0.9905465122421416,0.9000000000000004,0.8914918362720242,0.7255857718762462,0.7515014354187086,0.0033368876959639984,0.047291857590820933,-0.14205544331256267,0.2959138253360635,0.47280334728033474,1.0626978124183004,0.0,239
9,eval,pact,3.0,0,0.4918546215835647,0.17796260594316904,0.2966043267514879,0.07474324911458721,0.0,0.01191549140192319,1.1958975567478516,1.1695662503711348,0.32699926967526083,98893.35471691945,-0.038020166652725236,73.72178105629638,0.08277277300079747,2261.0,0.0,1999.0,0.0,0.0,0.9906995221660726,0.9000000000000004,0.8916295542377807,0.792052133517122,0.6402309846734545,0.10286844053438732,0.08055430024698626,-0.18096501120460895,0.5689486334906081,0.1087866108786611,1.1695662533044509,0.0,239
10,eval,pact,3.0,0,0.4595581971330663,0.16664048548047206,0.2777341260202984,0.03917839505931822,0.0,0.01167127557262529,1.0900491196740123,1.119316728045252,0.3566217222348417,130398.17707243723,-0.06301656035267042,187.34198677190676,0.0589721237063782,2499.0,0.0,2237.0,0.0,0.0,0.9949322704490757,0.9000000000000004,0.8954390212581746,0.9354481124853599,0.745940553598715,0.060564325865486573,0.05967901126875164,-0.12557581773385454,0.0018398172052583163,0.9874476987447699,1.119316723655789,0.0,239
11,train,pact,3.0,0,0.3926658787366775,0.12436478367551093,0.20727462230451651,0.09509319148053684,0.0030429822131679647,0.017782567078676308,1.65660439899277,1.7358751658615208,0.38957205589346305,7561.284903937304,0.3718162905444317,8.076017974310838,0.0998885995400563,2737.0,0.0,2475.0,0.0,0.0,0.9921101576114798,0.9000000000000004,0.8928991226970401,0.7870907783614836,0.3189775632957994,0.03930853483412998,0.09564546185105291,-0.2036314687374906,0.18326953322057032,0.497907949790795,1.7358751755283177,0.0,239
12,train,pact,3.0,0,0.07879225602993307,0.02635828283056836,0.043930470234638704,0.0022822366598759733,0.0003803727766459956,0.018203789477380748,1.7601743437755057,1.7729710485147132,0.1654577961807221,3671.408137748431,0.2448760461292101,6.693160939416127,0.03339824879397813,2975.0,0.0,2713.0,0.0,0.0,0.9952860945937025,0.9000000000000004,0.8957574621902848,0.5701523549435839,0.15582706877748975,0.014410651259472123,0.03194073477378076,-0.21361521952376436,0.2678121012492952,0.3598326359832636,1.7729710636551597,0.0,239
13,train,pact,3.0,0,0.00484126768363289,0.0029352923711371184,0.0048921537104186456,0.0,0.0,0.018621687621470526,1.8310534819399462,1.8324344956226428,-0.5171658175288837,5286.541391540272,0.2576701567512177,7.431905640717829,0.005465625176424449,3213.0,0.0,2951.0,0.0,0.0,0.9969509403575914,0.9000000000000004,0.8972558316825324,0.19334367346331566,0.06409478105151112,0.002756352079505066,0.005197392269544241,-0.2064799508932923,0.09961719932342204,0.497907949790795,1.8324344930851897,0.0,239
14,train,pact,3.0,0,0.08452669602320004,0.034341782646281224,0.057236300825329385,0.008368200587428265,0.0,0.01848977426199484,1.8538804208883182,1.8012966194412199,-2.0678219768962975,5728.167956491893,0.25145323889604143,2.3295157973237615,0.02954982484644084,3451.0,0.0,3189.0,0.0,0.0,0.9951925649303771,0.9000000000000004,0.8956732814780838,0.2847190733879046,0.2517087967274332,0.005041632317176952,0.02987838665872937,-0.21913984089873395,0.2895931630018695,0.29707112970711297,1.8012966218466453,0.0,239
15,train,pact,3.0,0,0.4532820462560594,0.19011776704784672,0.3168629163909176,0.16413084888308616,0.0,0.01919136833882731,1.8745974476866143,1.86960795160118,0.37918886903938387,5798.197152237513,0.16382169049178644,12.107630143105734,0.11208928622710655,3689.0,0.0,3427.0,0.0,0.0,0.9961639834747155,0.9000000000000004,0.8965475649015674,0.8297154980768853,0.5380867833430105,0.0853942647942754,0.11058943276001319,-0.23946245576008185,0.4610819312145761,0.1589958158995816,1.8696079434819168,0.0,239
16,train,pact,3.0,0,0.011099790736339269,0.006674940637023009,0.011124900375857217,0.0,0.0,0.019737941610420348,1.8739385859238054,1.8909762264794385,0.4207291124256086,7655.059927840612,0.0095165997166888,25.706918491978026,0.018596924934925894,3927.0,0.0,3665.0,0.0,0.0,0.9973524454747283,0.9000000000000004,0.8976171817240854,0.19523376220847333,0.15334733686537427,0.013654302195485296,0.017329619398582182,-0.21703325766174913,0.16967862547850088,0.30962343096234307,1.8909762302117594,0.0,239
17,train,pact,3.0,0,0.5020820002191994,0.19792021341846183,0.32986699776294365,0.139786991801222,0.0,0.018343718814036212,1.8419936810577264,1.7736939530991112,0.369797802993942,5430.487920657361,0.256931016167088,4.845980183349992,0.10512376527368211,4165.0,0.0,3903.0,0.0,0.0,0.9936261608510836,0.9000000000000004,0.8942635283809327,0.7585203512662121,0.47676509048807114,0.11210926125446956,0.10555836136616517,-0.20314152016429343,0.13949968841805394,0.4686192468619247,1.7736939648317323,0.0,239
18,train,pact,3.0,0,0.4671610229562556,0.17310743773522058,0.2885123685207028,0.13921643344677642,0.0007607455532919912,0.0188187385313057,1.7790847956884854,1.820289497844345,0.24772070354497583,4986.983891826295,0.24828734083809753,7.036390309054482,0.11346058992505323,4403.0,0.0,4141.0,0.0,0.0,0.995097595278688,0.9000000000000004,0.8955878208870668,0.8430555327610342,0.45447706864084025,0.07565718358037649,0.1112688007105968,-0.208322874214026,0.15294222380486064,0.4560669456066946,1.820289493115237,0.0,239
19,train,pact,3.0,0,0.3109929788440381,0.1043725147136223,0.1739541744523137,0.08082921191987633,0.002852795824844967,0.01777285548651817,1.630260092194609,1.6621854674367227,0.29932674129637715,5354.447171646182,0.24359515008310081,9.370137092957437,0.09268103668341514,4641.0,0.0,4379.0,0.0,0.0,0.9945629313899882,0.9000000000000004,0.895106625856216,0.6551428090477261,0.2750535279272279,0.03477085917035029,0.09022757498485087,-0.23371361419700568,0.5077005252381376,0.2719665271966527,1.662185464364728,0.0,239
20,train,pact,3.0,0,0.08163405268523204,0.023637567563904265,0.03939594342571802,0.003993913967739089,0.0,0.016065497153972482,1.66400947929925,1.6560699480846837,0.26912683061476034,3001.1771485396507,0.2748026638350227,11.703234707960025,0.021344692649896486,4879.0,0.0,4617.0,0.0,0.0,0.9918910008095299,0.9000000000000004,0.8927018824481565,0.2666468182137341,0.25741647529368605,0.004927270170160089,0.02154688639215595,-0.1902590184400683,0.11896495444968694,0.5941422594142259,1.6560699415763036,0.0,239
21,train,pact,3.0,0,0.3825699220520223,0.10489619236410119,0.17482697487081533,0.04678585065458609,0.0,0.01654334780350951,1.635102812964547,1.6622012689023835,0.4858325360709154,1861.117517447372,0.40924337319250387,6.976459313636045,0.07492376630736133,5117.0,0.0,4855.0,0.0,0.0,0.9920698279616225,0.9000000000000004,0.8928628252141146,0.8289915678133573,0.42255761254746604,0.035740282830543986,0.07209810087161146,-0.2003259681502035,0.22953203359150123,0.4393305439330544,1.6622012653969085,0.0,239
22,train,pact,3.0,0,0.07326333691171423,0.020905696060767563,0.03484282460238197,0.0030429822131679647,0.0,0.01581121193806185,1.5941339372092211,1.5995118548181766,0.2828756004073131,1618.043226680995,0.31702747230250466,5.279226762480317,0.026173251796958025,5355.0,0.0,5093.0,0.0,0.0,0.9903069350509963,0.9000000000000004,0.891276215409634,0.6199241766821332,0.17069424751226792,0.011251100780403553,0.024982892765924646,-0.20733697708022758,0.3949672097094869,0.24267782426778242,1.5995118633985288,0.0,239
23,train,pact,3.0,0,0.47694583179846367,0.10963598065750203,0.18272662654696384,0.03841764950602623,0.0,0.014321679385792012,1.5178980912124762,1.5167063232745086,0.5455126383938051,1219.5156515592312,0.4945573215022153,3.748294223053186,0.07131652176286636,5593.0,0.0,5331.0,0.0,0.0,0.9898351887279974,0.9000000000000004,0.8908516550163844,0.7513602017444515,0.41736945593421115,0.03304965506928662,0.07057514650528962,-0.2122761870611513,0.5503130656696045,0.1087866108786611,1.516706324398443,0.0,239
24,train,pact,3.0,0,0.19109902345770474,0.04319477982645371,0.07199129490383947,0.019399011110162137,0.0,0.014778098222024147,1.5163558771420722,1.5322729044878334,0.4517677261739595,948.1661302893731,0.4976728438832271,4.786436355263619,0.04056215137009466,5831.0,0.0,5569.0,0.0,0.0,0.989621290352554,0.9000000000000004,0.8906591447327427,0.7346791747458428,0.32217000730863155,0.0179851503005432,0.03911731899111964,-0.21280434866270517,0.5375233686459538,0.09623430962343096,1.5322729036638894,0.0,239
25,train,pact,3.0,0,0.00010017924373394666,2.224926999690952e-05,3.7082117932525204e-05,0.0,0.0,0.014480469752274547,1.5656959232426089,1.5652374762371495,0.34514491054303476,730.2340358590482,0.4871567487716675,6.2868852615356445,0.001829089396687397,6069.0,0.0,5807.0,0.0,0.0,0.9893620478059457,0.9000000000000004,0.8904258274633017,5.137422445734641,-3.9997297599949873,0.0015847052975694732,0.0016360621305629972,-0.21402404623064042,0.5162467729012731,0.16736401673640167,1.5652374781982095,0.0,239
26,train,pact,3.0,0,0.002674004892043177,0.0006079480574280218,0.0010132466791885433,0.0,0.0,0.014579197980276461,1.5707868963604692,1.570384609649371,-0.1679265795622136,714.3681558904289,0.4871567487716675,6.2868852615356445,0.0012508554419966998,6307.0,0.0,6045.0,0.0,0.0,0.989232474291175,0.9000000000000004,0.8903091991296872,0.1906437531578879,0.0023606359453099968,0.000638550636598716,0.0011852125834456613,-0.21503450324136228,0.5287990741565033,0.1506276150627615,1.5703846214673984,0.0,239
27,train,pact,3.0,0,0.0,0.0,0.0,0.0,0.0,0.015251396064136068,1.5843002484433322,1.5844308152857185,-3.4506961865405157,1044.0526158799687,0.4871567487716675,6.2868852615356445,0.001137231945295338,6545.0,0.0,6283.0,0.0,0.0,0.990549488795851,0.9000000000000004,0.8914945113110243,nan,nan,0.0010197553405625025,0.001019755287758534,-0.23385671325392976,0.6922757351850203,0.07112970711297072,1.5844308108735223,0.0,239
28,train,pact,3.0,0,0.4934485877536371,0.10722473884534985,0.17870788912546517,0.03423354914996415,0.0,0.015256644735136167,1.5366419548768877,1.5512717840063024,0.5252498461724606,1171.7892290059492,0.4719028344034962,3.3214653857582284,0.06790349851498793,6783.0,0.0,6521.0,0.0,0.0,0.9902636321518711,0.9000000000000004,0.8912372496836355,0.7302848787470348,0.4368533850867138,0.048721076299746834,0.0683489062055696,-0.21186325835717912,0.47295171963559757,0.15481171548117154,1.5512717748625975,0.0,239
29,train,pact,3.0,0,0.07057713395643153,0.015598857952054117,0.025998094981104218,0.0,0.0,0.015720693560153494,1.6090035119316068,1.6060298254799144,0.4792098058816279,1170.2387289262715,0.39225082885021945,7.5038055096710075,0.0180399109593351,7021.0,0.0,6759.0,0.0,0.0,0.9905629547071257,0.9000000000000004,0.8915066487120784,0.24941390387509002,0.25491038138494504,0.008111967756853786,0.017764607180766254,-0.21676183034045501,0.4866613252618773,0.19246861924686193,1.60602982608345,0.0,239
30,eval,pact,3.0,0,2.1493512025067902e-05,5.63745159669448e-06,9.395751849335139e-06,0.0,0.0,0.006679510920811211,0.8975412681012972,0.8891192694588186,0.3912473434434276,2440.5527476546154,0.4161185324192047,2.113032341003418,0.005828410104768561,7259.0,0.0,6997.0,0.0,0.0,0.9965428592769671,0.9000000000000004,0.8968885466144674,123.84470262104183,-136.39909847634473,0.004610558211657298,0.005225962068884104,-0.14655662897888969,0.6620374491824683,0.0502092050209205,0.8891192728156244,0.0,239
31,eval,pact,3.0,0,0.49775201144090475,0.028825316094488886,0.048042190321813075,0.0,0.0,0.007982781721925885,1.127021252236107,1.1280506225809392,0.47330726764192144,8045.509534763991,0.17312319702020687,10.350727294778226,0.00969191423907611,7497.0,0.0,7235.0,0.0,0.0,0.9805503185822874,0.9000000000000004,0.8824952576449725,0.8754634994468444,0.6788993482451967,0.0027068516288776523,0.009658984799487477,-0.18167512676483094,0.5596901985222111,0.19665271966527198,1.1280506316927006,0.0,239
32,eval,pact,3.0,0,0.4986505481252782,0.05696269104199353,0.09493781365381437,0.0,0.0,0.0073062379831822285,1.0598828019457383,1.0831985247933216,-0.29564400917215267,17059.501625220644,0.11764598071816763,33.735535924903516,0.02485769212530404,7735.0,0.0,7473.0,0.0,0.0,0.9852449479960996,0.9000000000000004,0.8867204309008611,0.7198527779852169,0.6061244534036315,0.01123279882206892,0.024778436531340042,-0.1457299524186911,0.22062969227573517,0.5439330543933054,1.0831985286897772,0.0,239
33,eval,pact,3.0,0,0.1229728398538705,0.012024852975997289,0.020041420420106437,0.0,0.0,0.00899740801072021,0.9479847087770327,0.9679041233022841,0.3170443840936668,70484.79504445607,0.06268344334498141,89.26528475773384,0.0076207850648628,7973.0,0.0,7711.0,0.0,0.0,0.9877671756504969,0.9000000000000004,0.8889904388822771,0.8740080118237191,0.7597971784365318,0.005947744584103164,0.006931341830670257,-0.14763136141585897,0.5529540935932816,0.17573221757322174,0.9679041249591799,0.0,239
34,eval,pact,3.0,0,0.4891325045084395,0.06344464257053306,0.10574106631250604,0.0,0.0,0.008116585101199699,0.9341092657095219,0.957944047002114,0.3344784195030256,37248.85088830413,0.08035817151795684,51.101449479617834,0.022153279319343206,8211.0,0.0,7949.0,0.0,0.0,0.9881753825492938,0.9000000000000004,0.8893578249540289,0.7500384619047875,0.6848183232893958,0.012165478994383624,0.02401901421986645,-0.16296825510880078,0.7438796403454109,0.0041841004184100415,0.9579440506418914,0.0,239
35,eval,pact,3.0,0,0.00027498420791614755,5.7382364339067576e-05,9.563726171603714e-05,0.0,0.0,0.0094448712373846,0.8536998144502919,0.8576035843733464,0.40470064135276124,69549.29507714436,0.10294739902019501,130.8192901611328,0.006004369346411299,8449.0,0.0,8187.0,0.0,0.0,0.993597238133642,0.9000000000000004,0.8942374926231895,2.9680368158953745,-1.5420259654229054,0.0046157631913797854,0.004548134724268588,-0.1617750688457217,0.829668536158343,0.0,0.8576035859817409,0.0,239
36,eval,pact,3.0,0,0.5000638219418426,0.030966829850094427,0.05161138087284016,0.0,0.0,0.008030057435652639,1.078806541330146,1.090411214648929,0.34728938844308227,28465.7691635068,0.013346548319090875,25.610783620858292,0.010892981469483119,8687.0,0.0,8425.0,0.0,0.0,0.9751299812953342,0.9000000000000004,0.8776169622542968,0.9539743427418717,0.659980649115711,0.0038626905297860503,0.01012729741360166,-0.18044992908488047,0.5996913855010534,0.16317991631799164,1.090411213512824,0.0,239
37,eval,pact,3.0,0,0.1595777480052146,0.013166931064679907,0.021944884346617472,0.002662609436521969,0.0,0.00718127874945871,0.9893084495137426,0.9928986285520897,0.45462349593389983,32359.030289781644,0.03621219006604729,68.4439960104651,0.012227267335231365,8925.0,0.0,8663.0,0.0,0.0,0.988450057087583,0.9000000000000004,0.8896050348441471,0.9018147086489823,0.3985783230714385,0.0064308590277813,0.011166312723521876,-0.1594650190674655,0.6461319326982996,0.13389121338912133,0.9928986314310561,0.0,239
