episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,3.0,0,0.37911919344205136,0.07775162879678262,0.09718953050822424,0.05718270729775209,0.016736402172423805,0.016724078637395817,0.7635183501443105,0.7752665672840933,0.07595958222741521,-0.10768391971672349,0.1929757829339419,0.3179916317991632,0.7752665693450096,0.0,239
1,eval,blind,3.0,0,0.41462239765982967,0.050357422123981685,0.06294677269272834,0.07949791031901307,0.0,0.007973552561802478,0.17243567339795404,0.28102200612363454,0.05035742254090795,-0.0429726308474654,0.0,1.0,0.2810220049427236,0.0,239
2,eval,blind,3.0,0,0.496713411596384,0.04442842768533174,0.055535531453376384,0.056485357331930344,0.0,0.006419114063437405,0.15127764430255572,0.2449124664317614,0.044428427753720794,-0.04244475125281157,0.08900722708254091,0.4309623430962343,0.24491246722626417,0.0,239
3,eval,blind,3.0,0,0.0008817254575398053,1.6541509169286784e-05,2.067688475035995e-05,0.0,0.0,0.00173228983482381,0.16401805179232584,0.16404592868517384,1.654152357659616e-05,-0.03673444440291695,0.03220489412958032,0.7866108786610879,0.1640459288523382,0.0,239
4,eval,blind,3.0,0,0.19514417073502602,0.023929973771149107,0.029912465105131163,0.007670850995694244,0.0,0.0031659089220750095,0.1661395930283738,0.19765146039270456,0.023929973861376498,-0.03948094792571957,0.011030810193990109,0.9456066945606695,0.19765146062592046,0.0,239
5,eval,blind,3.0,0,0.2405893336158956,0.027366281954075103,0.034207850563569266,0.03486750452588293,0.0,0.005074576248227771,0.16527956443601075,0.22345038450412671,0.027366281595310838,-0.04859878919854261,0.16140484341321162,0.48535564853556484,0.22345038405319265,0.0,239
6,eval,blind,3.0,0,0.04457110651652085,0.0017774925765515718,0.0022218656514406236,0.0,0.0,0.0018548706188899267,0.16761307430815997,0.17025090024561065,0.0017774926250563703,-0.039507530724386966,0.021934829466210223,0.7824267782426778,0.17025089930885554,0.0,239
7,eval,blind,3.0,0,0.4417291495469365,0.0516454914601787,0.06455686014017424,0.07670850995694244,0.0,0.008018289316176713,0.16254070532122417,0.274032913366621,0.05164549133034548,-0.04793900528485192,0.09306453657918093,0.6861924686192469,0.27403291351300557,0.0,239
8,eval,blind,3.0,0,0.4977520082539135,0.04062171461020367,0.0507771397279844,0.047419806155200785,0.0,0.005601106178420732,0.14628981455973503,0.2264630494631484,0.04062171462433318,-0.04433316032118432,0.14669709648789148,0.2803347280334728,0.2264630483421256,0.0,239
9,eval,blind,3.0,0,0.17120400338753217,0.013800444390422686,0.017250554602969904,0.011854951538800196,0.0,0.003332860811436198,0.1676136440437708,0.1967187428449487,0.013800444420538759,-0.04102389654303499,0.003550145809560035,0.9414225941422594,0.1967187426078085,0.0,239
10,eval,blind,3.0,0,0.00010017924373394666,7.7386231867224e-06,9.673277500955177e-06,0.0,0.0,0.001750301623036968,0.16675440917204615,0.1667615906588702,7.738588382377035e-06,-0.038202573589941065,0.026372511728160263,0.7698744769874477,0.16676159088643355,0.0,239
11,train,blind,3.0,0,0.4961388843030782,0.11980082140267373,0.14975101666440496,0.09065551158025174,0.023012552987082734,0.017983625411098846,0.8650484045803797,0.8529437951213645,0.11710106576960638,-0.1066562393175052,0.1090401927222011,0.4560669456066946,0.8529437897594552,0.0,239
12,train,blind,3.0,0,0.20738793141458225,0.049958724937161574,0.062448403156709166,0.03974895503481063,0.014644351776174921,0.017578752974445725,0.843107220954476,0.8486623163627282,0.04800123285984905,-0.11271308267312463,0.1574743248383416,0.41422594142259417,0.8486623198698203,0.0,239
13,train,blind,3.0,0,0.5019918537838604,0.11835141912917424,0.14793926644904093,0.08856346130869877,0.021617852806047416,0.017472355119946364,0.8645790271679228,0.8430495377489713,0.1157461941658622,-0.10896286888878573,0.1307214403448713,0.3891213389121339,0.8430495414984391,0.0,239
14,train,blind,3.0,0,0.0043400218550171355,0.0009958975811002564,0.00124487189258384,0.0,0.0,0.01659415583720501,0.8319758181791426,0.8318260149975701,0.0009958975228317088,-0.11057806680106691,0.16127805249144161,0.41422594142259417,0.8318260158838909,0.0,239
15,train,blind,3.0,0,0.3501149740058049,0.07587226730946472,0.0948403292634082,0.06624825828743779,0.016736402172423805,0.016797178142380638,0.8193909499685136,0.8262088856188323,0.07444696512472726,-0.1038805595923616,0.10244706479016102,0.4769874476987448,0.8262088837173156,0.0,239
16,train,blind,3.0,0,0.45752092677940104,0.10124417842450982,0.12655521485587437,0.08089261043770044,0.029986053892259317,0.01631642591352399,0.7796175321525111,0.7805554487715206,0.09789809128874767,-0.1043321767261454,0.14593635095727148,0.3514644351464435,0.7805554507043091,0.0,239
17,train,blind,3.0,0,0.4881335476829956,0.11798629096730229,0.14748285606368897,0.0948396119986618,0.028591353711224,0.01825778420126089,0.8426748788506416,0.8418721563521788,0.11456612811655847,-0.10975311873499653,0.14618993280081147,0.3514644351464435,0.8418721551885411,0.0,239
18,train,blind,3.0,0,0.36126752409238416,0.07562460794660826,0.09453075452373805,0.05927475744460916,0.020223152562664142,0.01656552618973456,0.7944435603823123,0.7950403562524827,0.07308369912620243,-0.10093206183465435,0.11043489286167112,0.42677824267782427,0.795040352217315,0.0,239
19,train,blind,3.0,0,0.3269574497412977,0.07731763944900792,0.09664704355038727,0.07740585986041623,0.023709902952904482,0.01775995720466248,0.8408206941941792,0.8362528184218386,0.07460521820417039,-0.11196908025652301,0.1589958158995816,0.3807531380753138,0.8362528139674857,0.0,239
20,train,blind,3.0,0,0.4510805060552793,0.10086864185100677,0.12608579446282894,0.08158996034117423,0.01743375220059351,0.017357646053165945,0.849321103682079,0.8450114521895492,0.0989288515231245,-0.11090529796474116,0.15645999746418154,0.3179916317991632,0.8450114549010793,0.0,239
21,train,blind,3.0,0,0.4367288618482977,0.09920124170691363,0.12400154473137694,0.08089261012596066,0.027894003558358388,0.016562154176099436,0.7916519069521996,0.7885847660911632,0.09588162584889584,-0.10493270225706637,0.14504881450488144,0.3723849372384937,0.7885847656364636,0.0,239
22,train,blind,3.0,0,0.38934417804177057,0.08620669229493916,0.10775835962930953,0.07461645924895378,0.03138075407329464,0.016772198463521244,0.8070802492202576,0.8214085593383182,0.08306795340665825,-0.10549714065493636,0.13122860403195133,0.3723849372384937,0.8214085576495219,0.0,239
23,train,blind,3.0,0,0.43414843287689137,0.09839750590272997,0.1229968736461921,0.08716876112766346,0.02510460325863571,0.017675048278578437,0.8572855819967501,0.8544481999579833,0.09588489731192479,-0.10851314158789001,0.11690122987194117,0.4811715481171548,0.8544482028209623,0.0,239
24,train,blind,3.0,0,0.21976542770897894,0.048628111562637015,0.060785136146923414,0.027894003558358388,0.008368201086211903,0.016333454211581513,0.8096550938100495,0.8102599002077988,0.04787758811127567,-0.10709356050736092,0.1374413591986814,0.3682008368200837,0.8102599025756312,0.0,239
25,train,blind,3.0,0,0.2988020511427855,0.06431686068279145,0.08039607076002597,0.03974895509715858,0.015341701991388488,0.016665935432820904,0.8129709038774339,0.8134557405276278,0.06258704115575273,-0.10363197428715003,0.12501584886522124,0.3682008368200837,0.813455742039555,0.0,239
26,train,blind,3.0,0,0.4754479658978925,0.10892308554486978,0.13615384786467702,0.0934449120670183,0.02928870380174166,0.01699385294597206,0.7770578724071072,0.7968519734039466,0.10592816662053135,-0.1060945624950402,0.15379738810701157,0.301255230125523,0.7968519722208482,0.0,239
27,train,blind,3.0,0,0.4738973789959445,0.11286445246864729,0.1410805571225157,0.09553696196448354,0.026499303439671027,0.01776266726275524,0.8515340662152199,0.8500600811327851,0.1099703673498423,-0.10862384479713005,0.12412831241283126,0.4100418410041841,0.8500600818247445,0.0,239
28,train,blind,3.0,0,0.2864649897415939,0.06295621653926638,0.07869526557071793,0.052301256601780526,0.01394700181035317,0.016283619202961796,0.8161303081771819,0.8164030455645158,0.0611103764609066,-0.10423011015911736,0.12488905794345127,0.3514644351464435,0.8164030472917699,0.0,239
29,train,blind,3.0,0,0.0010625911311165598,0.00027969688883150646,0.0003496211191677541,0.0,0.0,0.017041017343270667,0.839451319752378,0.839357193793213,0.0002796970150648045,-0.10787568294245237,0.12374793964752122,0.42677824267782427,0.8393571974204,0.0,239
30,eval,blind,3.0,0,0.49905009486198143,0.07944326627630023,0.09930407832458917,0.0,0.0,0.007682471615983228,0.5977476889493575,0.4806021184477347,0.07944326598587079,-0.061106790341180384,0.009509319132750094,0.7656903765690377,0.48060211715743856,0.0,239
31,eval,blind,3.0,0,0.025146201497458203,0.0058854308509089836,0.007356788071896418,0.0,0.0,0.010450115555967497,0.588245040327934,0.5793127195605673,0.005885430921841959,-0.0684923524463717,0.0,1.0,0.5793127179394393,0.0,239
