episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,fit_gain,cond_psi,beta_cos,beta_relerr,pred_err,updates,skipped,bounded,diverged,conf,trust_pol,trust_app,corr_frac,explained,corr_dark,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,pact,3.0,0,0.37911919344205136,0.07590301485123209,0.09487876261825084,0.05090655642074521,0.006973500905176585,0.016135491015755857,0.7640783887777368,0.7646253130176576,0.7425488953139617,4291158.324774195,0.8885424690765317,3.2230872766866843,0.04240068767286027,119.0,0.0,0.0,0.0,0.9769001222180522,0.7493723849372388,0.7413084240139279,0.7526719672712329,0.5859842276662114,0.026972613126125145,0.060726610259795914,-0.1064928593500054,0.19348294662102195,0.3138075313807531,0.7646253190708389,0.0,239
1,eval,pact,3.0,0,0.41462239765982967,0.008035950808212972,0.010044938025690103,0.0,0.0,0.0018914016443460587,0.15986913816699422,0.16837717979273537,0.5431490572925392,1341.3896642708878,0.6925361544267902,3.0364303167395015,0.005106900839697522,357.0,0.0,0.0,0.0,0.992947949026419,0.9000000000000004,0.8936531236979752,0.44893475076969824,0.39284951471587215,0.00064062643325183,0.0053299159112897366,-0.0320485006014189,0.0,1.0,0.1683771809190147,0.0,239
2,eval,pact,3.0,0,0.496713411596384,0.007713549458267876,0.009641936229035648,0.0,0.0,0.0008372118538021496,0.14525852654768334,0.14210895894710987,0.5416025741329752,12059.056849012813,0.1725944801312618,17.278844254785003,0.0038369152089483475,595.0,0.0,38.97907949790795,0.0,0.9884308244892743,0.9000000000000004,0.8895877204430154,0.9348893184055613,0.5542492487159896,0.003024232798322503,0.0037603944013475843,-0.03263392723030487,0.0885000633954609,0.42677824267782427,0.14210895906904233,0.0,239
3,eval,pact,3.0,0,0.0008817254575398053,1.6131972156909954e-05,2.0164964508546126e-05,0.0,0.0,0.0016762807640874422,0.16391087384995806,0.16304640356591557,0.04521281005050909,67596.51235617154,0.08023034781217575,56.19352722167969,0.0014749080810703681,833.0,0.0,206.44351464435147,0.0,0.9913040981881289,0.9000000000000004,0.8921736682059874,1.6760547360390095,-0.9240666235991437,0.001211551532183616,0.001164125196029779,-0.03666043166417668,0.031190566755420313,0.7907949790794979,0.16304640436132806,0.0,239
4,eval,pact,3.0,0,0.19514417073502602,0.005058192873223839,0.006322740693730754,0.0013947001810353172,0.0,0.0015870683637026807,0.1626886651231654,0.1639215350151062,0.5656157542160365,147035.02783407428,0.6090459799604436,52.14706344983568,0.003384056466324235,1071.0,0.0,339.2970711297071,0.0,0.9897609914197084,0.9000000000000004,0.8907848747454926,0.6759687335234448,0.4992066662594328,0.0013696953639627917,0.0034463230122775074,-0.035358355668243115,0.0015214910612400153,0.9874476987447699,0.1639215355333862,0.0,239
5,eval,pact,3.0,0,0.2405893336158956,0.004878838278394952,0.0060985473468935045,0.0006973500905176586,0.0,0.0016843004344093563,0.1581052256179155,0.16102872333766027,0.6045347310010359,127507.80648535564,0.6780981611008424,20.89089037384448,0.0030157805634657637,1309.0,0.0,446.8744769874477,0.0,0.9897804618131166,0.9000000000000004,0.8908023970147058,0.7204768268879711,0.546778484061075,0.0014083431479611746,0.0030219177954460526,-0.04269008649806751,0.16140484341321162,0.48535564853556484,0.16102872308128532,0.0,239
6,eval,pact,3.0,0,0.04457110651652085,0.0013856222479016766,0.0017320277559169938,0.0,0.0,0.0017012076853739418,0.16723536802884426,0.16711496190795339,-2.086370640968179,451908.1209466527,0.5425095216499711,23.90317576699676,0.002124005929975104,1547.0,0.0,608.7656903765691,0.0,0.9915024089513962,0.9000000000000004,0.8923521477682321,0.7288580091664675,-0.10997401481305591,0.0006969919988073849,0.001414810445628014,-0.03914643120595998,0.02130087485736021,0.7866108786610879,0.16711496145039587,0.0,239
7,eval,pact,3.0,0,0.4417291495469365,0.008120767193537428,0.010150958557723924,0.0,0.0,0.0015616865795023865,0.1487247398957049,0.1550524530924514,0.12247078164985255,256161.5517455544,0.5379903312756925,13.021460669310024,0.005260446352424357,1785.0,0.0,800.3305439330544,0.0,0.9888478527508021,0.9000000000000004,0.8899630429729757,0.5448010348553683,0.45164323604250123,0.002621927446770397,0.005472939098585069,-0.03658718138146545,0.0921770001267909,0.6861924686192469,0.15505245315196262,0.0,239
8,eval,pact,3.0,0,0.4977520082539135,0.010457353314817525,0.013071690867062209,0.0,0.0,0.000900824934928035,0.14354979178272032,0.1424083186617456,-1.7712972005790248,127952.99385460251,0.41052997000047853,32.83920021535961,0.005022364933283369,2023.0,0.0,977.020920502092,0.0,0.9881194760111086,0.9000000000000004,0.8893075017998907,0.8942717078842702,0.5426727469941149,0.001963865182075936,0.0046840590399506825,-0.036132027405990016,0.1418790414606314,0.28451882845188287,0.14240831823503927,0.0,239
9,eval,pact,3.0,0,0.17120400338753217,0.004284903925719092,0.0053561297525611656,0.0,0.0,0.0018422101111887762,0.16444444955642254,0.16815612973279034,-3.7992785908437674,87117.21441880231,0.35741117654687815,65.38322538511524,0.004207252660753093,2261.0,0.0,1136.5857740585775,0.0,0.9896413895874343,0.9000000000000004,0.8906772296298997,0.42207952580361524,0.44911561905258734,0.0019446983673817497,0.0036987682419235305,-0.037919609233089076,0.00025358184354000256,0.99581589958159,0.16815612988495265,0.0,239
10,eval,pact,3.0,0,0.00010017924373394666,9.633453799887544e-06,1.204181549556212e-05,0.0,0.0,0.00162290751853194,0.16637048836033713,0.16425843044304947,-1.7692738457204906,249362.68338127615,0.4121672809123993,6.0754075050354,0.002382044135724393,2499.0,0.0,1310.6778242677824,0.0,0.9901766643613951,0.9000000000000004,0.8911589705794426,45.389394669951876,-69.23115083661325,0.00157197768999924,0.001963606537950506,-0.03798548230857319,0.027513630024090272,0.7698744769874477,0.16425843034550247,0.0,239
