episode,phase,arm,sigma,direct,A,load,load_frac,sat,clipped,x_std,q_cmd_abs,q_exec_abs,resid_after,reward,v_out,cr,q_loss,destroy,steps
0,train,blind,3.0,0,0.37911919344205136,0.08391780646567008,0.10489725106895113,0.0788005599791036,0.029986053829911364,0.01630951450245307,0.7816478079457662,0.7914995789901981,0.08061854669831975,-0.11539023977159535,0.2587802713325726,0.301255230125523,0.7914995746141341,0.0,239
1,eval,blind,3.0,0,0.05557842856955229,0.005773069272044302,0.0072163362431383275,0.0,0.0,0.006375657386734895,0.4085205916206208,0.40405288488296287,0.0057730690456676455,-0.08561551830239686,0.4740712564980348,0.0,0.4040528858349797,0.0,239
2,eval,blind,3.0,0,0.5020913164463541,0.06630938858008723,0.08288673063699706,0.04323570561209483,0.0,0.010109777554526737,0.3153312804185197,0.3785768650690382,0.06630938867167982,-0.05223917770965415,0.030810193990110302,0.7740585774058577,0.37857686547630276,0.0,239
3,eval,blind,3.0,0,0.4769458410955545,0.07449229670136176,0.09311536515302563,0.05369595696985971,0.0,0.012451363144886669,0.39679685889677024,0.48528303654872224,0.07449229678234104,-0.08286558376997191,0.25763915303664253,0.0,0.48528303838062176,0.0,239
4,eval,blind,3.0,0,0.47389736845189456,0.06493856848223666,0.08117320599430436,0.04393305570261249,0.0,0.010365264956882246,0.3192168080781793,0.38476406199912144,0.06493856809930514,-0.06193114128823533,0.14099150500824142,0.698744769874477,0.3847640642166158,0.0,239
5,eval,blind,3.0,0,0.07326335892778778,0.006798403049215723,0.008498003685733493,0.0,0.0,0.006360827933482545,0.40930945148777265,0.4026080235901238,0.0067984033628962605,-0.07804527460981182,0.3631291999492835,0.0,0.40260802325533074,0.0,239
6,eval,blind,3.0,0,0.011099790736339269,0.0011625370889571866,0.0014531712706732198,0.0,0.0,0.00617464589321339,0.41161406888123836,0.4102780052059365,0.001162537073727907,-0.07745088427439542,0.30645365791809304,0.012552301255230125,0.4102780043065735,0.0,239
7,eval,blind,3.0,0,0.15576158431569304,0.021881840664619824,0.027352299094752987,0.010460251357764879,0.0,0.007688714674514208,0.4052971479284215,0.4225423246247998,0.021881840717035642,-0.08310964868346403,0.3687080005071636,0.008368200836820083,0.42254232244130313,0.0,239
8,eval,blind,3.0,0,0.49821823029872664,0.07702511911403354,0.09628139375257827,0.05509065715089503,0.0,0.01247164926289047,0.39140916213580257,0.4800741975526929,0.07702511885703088,-0.08227818870517631,0.25345505261823253,0.0,0.4800741989301713,0.0,239
9,eval,blind,3.0,0,0.020964593625584595,0.00216781693235747,0.0027097708831990462,0.0,0.0,0.006211921931185982,0.4128723974382528,0.4103701670174818,0.0021678168501528482,-0.0773099751843577,0.31317357677190305,0.0,0.4103701651008205,0.0,239
10,eval,blind,3.0,0,0.3612674953427315,0.05816010615342436,0.07270012807882523,0.0404463052500242,0.0,0.01051953636308563,0.3837422104123746,0.4484022828325567,0.05816010584395261,-0.08642718229413153,0.4037022949156841,0.03347280334728033,0.44840228220472433,0.0,239
11,train,blind,3.0,0,0.501210307838382,0.11714218176661934,0.14642771774439958,0.08995816155208204,0.03417015443536527,0.01760978770401391,0.7596872179578039,0.7913440307563319,0.11295951976505753,-0.1058223424888869,0.16520857106631165,0.36401673640167365,0.7913440359812869,0.0,239
12,train,blind,3.0,0,0.0012663892698259907,0.0003672549082161118,0.000459068626898222,0.0,0.0,0.015635772322783847,0.7818943133039953,0.7816915464077036,0.00036725491150399226,-0.10764789123424952,0.1728160263725117,0.41841004184100417,0.781691543995292,0.0,239
13,train,blind,3.0,0,0.5019918540521879,0.11223503958068425,0.14029379152567673,0.08647141078775399,0.02928870380174166,0.01695599499261825,0.8188092933663763,0.8197996549962954,0.10890797542036518,-0.11103849239490658,0.16457461645746163,0.3682008368200837,0.8197996589479257,0.0,239
14,train,blind,3.0,0,0.24477056702595276,0.056230080177959746,0.0702875941936795,0.043235705425050966,0.011854951538800196,0.016927118718070778,0.8359358819458774,0.8357575139241239,0.05495575761474603,-0.10701174436500129,0.10244706479016102,0.4393305439330544,0.8357575158982911,0.0,239
15,train,blind,3.0,0,0.32300139925731,0.07246687727910052,0.09058359018354357,0.05439330693568146,0.01464435190087083,0.01728218197520573,0.8902043486988195,0.8672400954876983,0.07089675241763395,-0.11041965684701667,0.12222644858628125,0.36401673640167365,0.8672400987408715,0.0,239
16,train,blind,3.0,0,0.3028837280172224,0.06500234951705489,0.0812529326751368,0.039051604881945014,0.010460251357764879,0.01702094121512696,0.9015979218183701,0.8662770133013505,0.06389910374030375,-0.10752254993340579,0.10244706479016102,0.2384937238493724,0.86627701337044,0.0,239
17,train,blind,3.0,0,0.33479187858415665,0.07866098223787817,0.09832622029085032,0.052998606629950235,0.009065551176729561,0.01650753572668927,0.9241309106100554,0.866938283378609,0.0774493298328201,-0.1081496949694011,0.10130594649423101,0.3472803347280335,0.8669382838964407,0.0,239
18,train,blind,3.0,0,0.07600188859598127,0.022640926875659922,0.028301157067027176,0.0034867504525882926,0.0013947001810353172,0.01815449949899478,0.9503306175375583,0.929249162953269,0.02259158414859051,-0.11347751005678704,0.11030810193990112,0.20502092050209206,0.9292491596153061,0.0,239
19,train,blind,3.0,0,0.4941819601855557,0.12124496371354143,0.15155619717613214,0.06276150802189336,0.008368201086211903,0.0156816351471009,0.9902070601116164,0.883149747569192,0.12002445367857435,-0.10745873418521303,0.06580448839863066,0.4351464435146444,0.8831497501658835,0.0,239
20,train,blind,3.0,0,0.06283616020874398,0.018507316215839346,0.02313414399715352,0.0027894003620706344,0.0020920502715529757,0.01859661149811857,0.9805682816515408,0.9633806628412781,0.01824525237903822,-0.11846730635389657,0.1210853302903512,0.1589958158995816,0.9633806621677102,0.0,239
